Proximity	Show me the cafes within 500 meters of Martinistraße bus stop.
Proximity	Which ATMs are close to Dom-Museum?
Proximity	Is there any bicycle parking in a range of 200 m from Knochenhauerstraße?
Proximity	How many Supermarkets are less than 500 meters from Theatergarten?
Proximity	List the forests near Woltmershausen.
Proximity	Which is the closest bus stop to Mozartstraße?
Proximity	Show me the airports at most 15 km from Golf-Club Oberneuland.
Crossing	List the canals that cross Blockland.
Crossing	How many forests does Hollerfleet cross?
Crossing	Which parks does the Ihle stream cross?
Crossing	Which bridges cross Habenhauser Landwehr stream?
Crossing	Does Lockstromleitung pass through any park?
Crossing	How many farmlands does Arberger Kanal cross?
Crossing	Does Delmestraße cross Pappelstraße?
Containment	Show me the bakeries in Findorff.
Containment	Are there any driving schools in Blumenthal?
Containment	How many kindergartens are there in Schönebeck?
Containment	How many castles does Bremen have?
Containment	List the pharmacies in Burglesum.
Containment	Is Weserhäuser part of Überseestadt?
Containment	Is Friedehorst bus stop located in Losum?
Containment	Which restaurants are in Gröpelingen?
Containment	Does Burglesum have a stadium?
Containment	How many churches does Vegesack have?
Borders	Which administrative boundaries border Findorff?
Borders	Is Bürgerhain forest adjacent to a park?
Borders	How many playgrounds are adjacent to a school?
Borders	Does the district Hemelingen border Obervieland?
Borders	Which park borders Muhles Park?
Borders	Which canals of Findorff border Schwachhausen?
Borders	Which administrative boundaries border Woltmershausen and Neustadt?
Crossing	Which stream passes through Jedutenberg and borders Stadtwald Ahnthammsmoor?
Containment	Which is the highest church in Bremen?
Containment	Show me the bicycle parking in Mitte with highest capacity.
Containment	Which is the largest bicycle parking in Horn-Lehe?
Containment	Which is the smallest stadium in Peterswerder?
Containment	Which is the widest footpath in Altstadt?
Containment	Which suburbs have more than 30000 population?
Containment	How many cycling paths have more than 4m width?
Proximity	Which is the closest cafe from Nelson Mandela Park?
Proximity	Which parkings within 2 km of Hohentor have capacity more than 500?
Containment	How many parkings have greater than 1000 capacity?
Containment	Which apartment blocks have more than 50m height?
Containment	Which is the biggest stadium in Peterswerder?
